icd_10,probs
E07.9,0.00035108512550240583
E10.10,0.00030452215457529814
E10.11,0.00030452215457529814
E10.21,0.00030452215457529814
E10.22,0.00030452215457529814
E10.29,0.00030452215457529814
E10.36,0.00030452215457529814
E10.39,0.00030452215457529814
E10.40,0.00030452215457529814
E10.41,0.00030452215457529814
E10.42,0.00030452215457529814
E10.43,0.00030452215457529814
E10.44,0.00030452215457529814
E10.49,0.00030452215457529814
E10.51,0.00030452215457529814
E10.52,0.00030452215457529814
E10.59,0.00030452215457529814
E10.65,0.00030452215457529814
E10.69,0.00030452215457529814
E10.8,0.00030452215457529814
E10.9,0.00030452215457529814
E11.00,0.002034608977113398
E11.01,0.002034608977113398
E11.10,0.002034608977113398
E11.11,0.002034608977113398
E11.21,0.002034608977113398
E11.22,0.002034608977113398
E11.29,0.002034608977113398
E11.36,0.002034608977113398
E11.39,0.002034608977113398
E11.40,0.002034608977113398
E11.41,0.002034608977113398
E11.42,0.002034608977113398
E11.43,0.002034608977113398
E11.44,0.002034608977113398
E11.49,0.002034608977113398
E11.51,0.002034608977113398
E11.52,0.002034608977113398
E11.59,0.002034608977113398
E11.65,0.002034608977113398
E11.69,0.002034608977113398
E11.8,0.002034608977113398
E11.9,0.002034608977113398
E22.0,0.00010461457233503647
E22.1,0.00010461457233503647
E22.2,0.00010461457233503647
E22.8,0.00010461457233503647
E22.9,0.00010461457233503647
E28.0,0.0005081992343042141
E28.1,0.0005081992343042141
E28.2,0.0005081992343042141
E28.39,0.0005081992343042141
E28.8,0.0005081992343042141
E28.9,0.0005081992343042141
E34.0,0.00013956830535484868
E34.1,0.00013956830535484868
E34.2,0.00013956830535484868
E34.3,0.00013956830535484868
E34.4,0.00013956830535484868
E34.50,0.00013956830535484868
E34.51,0.00013956830535484868
E34.52,0.00013956830535484868
E34.8,0.00013956830535484868
E34.9,0.00013956830535484868
E66.01,0.0003476542197413767
E66.09,0.0003476542197413767
E66.1,0.0003476542197413767
E66.2,0.0003476542197413767
E66.3,0.0003476542197413767
E66.8,0.0003476542197413767
E66.9,0.0003476542197413767
E74.00,2.0359375408538538e-05
E74.01,2.0359375408538538e-05
E74.02,2.0359375408538538e-05
E74.03,2.0359375408538538e-05
E74.04,2.0359375408538538e-05
E74.09,2.0359375408538538e-05
E74.10,2.0359375408538538e-05
E74.11,2.0359375408538538e-05
E74.12,2.0359375408538538e-05
E74.19,2.0359375408538538e-05
E74.20,2.0359375408538538e-05
E74.21,2.0359375408538538e-05
E74.29,2.0359375408538538e-05
E74.31,2.0359375408538538e-05
E74.39,2.0359375408538538e-05
E74.4,2.0359375408538538e-05
E74.8,2.0359375408538538e-05
E74.9,2.0359375408538538e-05
E78.00,6.866118930100118e-05
E78.01,6.866118930100118e-05
E78.1,6.866118930100118e-05
E78.2,6.866118930100118e-05
E78.3,6.866118930100118e-05
E78.4,6.866118930100118e-05
E78.5,6.866118930100118e-05
E78.6,6.866118930100118e-05
E78.70,6.866118930100118e-05
E78.71,6.866118930100118e-05
E78.72,6.866118930100118e-05
E78.79,6.866118930100118e-05
E78.81,6.866118930100118e-05
E78.89,6.866118930100118e-05
E78.9,6.866118930100118e-05
E89.0,0.00021166775123578166
E89.1,0.00021166775123578166
E89.2,0.00021166775123578166
E89.3,0.00021166775123578166
E89.40,0.00021166775123578166
E89.41,0.00021166775123578166
E89.5,0.00021166775123578166
E89.6,0.00021166775123578166
E89.89,0.00021166775123578166
G20,0.001862913130591388
G24.01,0.0003028228268635412
G24.02,0.0003028228268635412
G24.09,0.0003028228268635412
G24.1,0.0003028228268635412
G24.2,0.0003028228268635412
G24.3,0.0003028228268635412
G24.4,0.0003028228268635412
G24.5,0.0003028228268635412
G24.8,0.0003028228268635412
G24.9,0.0003028228268635412
G25.0,3.282396822724099e-05
G25.1,3.282396822724099e-05
G25.2,3.282396822724099e-05
G25.3,3.282396822724099e-05
G25.4,3.282396822724099e-05
G25.5,3.282396822724099e-05
G25.61,3.282396822724099e-05
G25.69,3.282396822724099e-05
G25.70,3.282396822724099e-05
G25.71,3.282396822724099e-05
G25.79,3.282396822724099e-05
G25.81,3.282396822724099e-05
G25.82,3.282396822724099e-05
G25.83,3.282396822724099e-05
G25.89,3.282396822724099e-05
G25.9,3.282396822724099e-05
G35,0.001546991254856417
G40.89,0.0032087219208609043
G43.A0,6.070380510011491e-05
G43.A1,6.070380510011491e-05
G43.B0,6.070380510011491e-05
G43.B1,6.070380510011491e-05
G43.C0,6.070380510011491e-05
G43.C1,6.070380510011491e-05
G43.D0,6.070380510011491e-05
G43.D1,6.070380510011491e-05
G44.1,0.0001837389911089303
G44.40,0.0001837389911089303
G44.41,0.0001837389911089303
G44.51,0.0001837389911089303
G44.52,0.0001837389911089303
G44.53,0.0001837389911089303
G44.59,0.0001837389911089303
G44.81,0.0001837389911089303
G44.82,0.0001837389911089303
G44.83,0.0001837389911089303
G44.84,0.0001837389911089303
G44.85,0.0001837389911089303
G44.89,0.0001837389911089303
G47.00,1.1434710001076596e-05
G47.01,1.1434710001076596e-05
G47.09,1.1434710001076596e-05
G47.10,1.1434710001076596e-05
G47.11,1.1434710001076596e-05
G47.12,1.1434710001076596e-05
G47.13,1.1434710001076596e-05
G47.14,1.1434710001076596e-05
G47.19,1.1434710001076596e-05
G47.20,1.1434710001076596e-05
G47.21,1.1434710001076596e-05
G47.22,1.1434710001076596e-05
G47.23,1.1434710001076596e-05
G47.24,1.1434710001076596e-05
G47.25,1.1434710001076596e-05
G47.26,1.1434710001076596e-05
G47.27,1.1434710001076596e-05
G47.29,1.1434710001076596e-05
G47.30,1.1434710001076596e-05
G47.31,1.1434710001076596e-05
G47.32,1.1434710001076596e-05
G47.33,1.1434710001076596e-05
G47.34,1.1434710001076596e-05
G47.35,1.1434710001076596e-05
G47.36,1.1434710001076596e-05
G47.37,1.1434710001076596e-05
G47.39,1.1434710001076596e-05
G47.50,1.1434710001076596e-05
G47.51,1.1434710001076596e-05
G47.52,1.1434710001076596e-05
G47.53,1.1434710001076596e-05
G47.54,1.1434710001076596e-05
G47.59,1.1434710001076596e-05
G47.61,1.1434710001076596e-05
G47.62,1.1434710001076596e-05
G47.63,1.1434710001076596e-05
G47.69,1.1434710001076596e-05
G47.8,1.1434710001076596e-05
G47.9,1.1434710001076596e-05
G50.0,0.00011636103984600791
G50.1,0.00011636103984600791
G50.8,0.00011636103984600791
G50.9,0.00011636103984600791
G54.0,5.1792385232071084e-05
G54.1,5.1792385232071084e-05
G54.2,5.1792385232071084e-05
G54.3,5.1792385232071084e-05
G54.4,5.1792385232071084e-05
G54.5,5.1792385232071084e-05
G54.6,5.1792385232071084e-05
G54.7,5.1792385232071084e-05
G54.8,5.1792385232071084e-05
G54.9,5.1792385232071084e-05
G56.00,2.3425949303836616e-05
G56.01,2.3425949303836616e-05
G56.02,2.3425949303836616e-05
G56.03,2.3425949303836616e-05
G56.10,2.3425949303836616e-05
G56.11,2.3425949303836616e-05
G56.12,2.3425949303836616e-05
G56.13,2.3425949303836616e-05
G56.20,2.3425949303836616e-05
G56.21,2.3425949303836616e-05
G56.22,2.3425949303836616e-05
G56.23,2.3425949303836616e-05
G56.30,2.3425949303836616e-05
G56.31,2.3425949303836616e-05
G56.32,2.3425949303836616e-05
G56.33,2.3425949303836616e-05
G56.40,2.3425949303836616e-05
G56.41,2.3425949303836616e-05
G56.42,2.3425949303836616e-05
G56.43,2.3425949303836616e-05
G56.80,2.3425949303836616e-05
G56.81,2.3425949303836616e-05
G56.82,2.3425949303836616e-05
G56.83,2.3425949303836616e-05
G56.90,2.3425949303836616e-05
G56.91,2.3425949303836616e-05
G56.92,2.3425949303836616e-05
G56.93,2.3425949303836616e-05
G62.0,6.540854396687643e-05
G62.1,6.540854396687643e-05
G62.2,6.540854396687643e-05
G62.81,6.540854396687643e-05
G62.82,6.540854396687643e-05
G62.89,6.540854396687643e-05
G62.9,6.540854396687643e-05
G80.0,0.00013825123249878267
G80.1,0.00013825123249878267
G80.2,0.00013825123249878267
G80.3,0.00013825123249878267
G80.4,0.00013825123249878267
G80.8,0.00013825123249878267
G80.9,0.00013825123249878267
G90.01,0.001500030124797225
G90.09,0.001500030124797225
G90.1,0.001500030124797225
G90.2,0.001500030124797225
G90.3,0.001500030124797225
G90.4,0.001500030124797225
G90.50,0.001500030124797225
G90.59,0.001500030124797225
G90.8,0.001500030124797225
G90.9,0.001500030124797225
G93.0,0.0005594229680384677
G93.1,0.0005594229680384677
G93.2,0.0005594229680384677
G93.3,0.0005594229680384677
G93.40,0.0005594229680384677
G93.41,0.0005594229680384677
G93.49,0.0005594229680384677
G93.5,0.0005594229680384677
G93.6,0.0005594229680384677
G93.7,0.0005594229680384677
G93.81,0.0005594229680384677
G93.82,0.0005594229680384677
G93.89,0.0005594229680384677
G93.9,0.0005594229680384677
G96.0,0.0007283619060444851
G96.11,0.0007283619060444851
G96.12,0.0007283619060444851
G96.19,0.0007283619060444851
G96.8,0.0007283619060444851
G96.9,0.0007283619060444851
G98.0,0.000757325727932169
G98.8,0.000757325727932169
H00.11,0.0002763158106473446
H00.12,0.0002763158106473446
H00.13,0.0002763158106473446
H00.14,0.0002763158106473446
H00.15,0.0002763158106473446
H00.16,0.0002763158106473446
H00.19,0.0002763158106473446
H01.8,0.000456410199278089
H01.9,0.000456410199278089
H04.19,0.00032807925893285324
H04.69,0.00032807925893285324
H04.89,0.00032807925893285324
H04.9,0.00032807925893285324
H10.10,0.0005850645633844949
H10.11,0.0005850645633844949
H10.12,0.0005850645633844949
H10.13,0.0005850645633844949
H10.30,0.0005850645633844949
H10.31,0.0005850645633844949
H10.32,0.0005850645633844949
H10.33,0.0005850645633844949
H10.44,0.0005850645633844949
H10.45,0.0005850645633844949
H10.89,0.0005850645633844949
H10.9,0.0005850645633844949
H11.10,7.386652629943115e-05
H11.30,7.386652629943115e-05
H11.31,7.386652629943115e-05
H11.32,7.386652629943115e-05
H11.33,7.386652629943115e-05
H11.89,7.386652629943115e-05
H11.9,7.386652629943115e-05
H16.8,0.0002587261231799099
H16.9,0.0002587261231799099
H25.10,0.0009459657933062516
H25.11,0.0009459657933062516
H25.12,0.0009459657933062516
H25.13,0.0009459657933062516
H25.20,0.0009459657933062516
H25.21,0.0009459657933062516
H25.22,0.0009459657933062516
H25.23,0.0009459657933062516
H25.89,0.0009459657933062516
H25.9,0.0009459657933062516
H26.09,5.186205234232864e-05
H26.20,5.186205234232864e-05
H26.30,5.186205234232864e-05
H26.31,5.186205234232864e-05
H26.32,5.186205234232864e-05
H26.33,5.186205234232864e-05
H26.40,5.186205234232864e-05
H26.8,5.186205234232864e-05
H26.9,5.186205234232864e-05
H27.00,0.0003039771017832699
H27.01,0.0003039771017832699
H27.02,0.0003039771017832699
H27.03,0.0003039771017832699
H27.10,0.0003039771017832699
H27.8,0.0003039771017832699
H27.9,0.0003039771017832699
H35.00,0.0002549522670614178
H35.09,0.0002549522670614178
H35.20,0.0002549522670614178
H35.21,0.0002549522670614178
H35.22,0.0002549522670614178
H35.23,0.0002549522670614178
H35.30,0.0002549522670614178
H35.33,0.0002549522670614178
H35.40,0.0002549522670614178
H35.50,0.0002549522670614178
H35.51,0.0002549522670614178
H35.52,0.0002549522670614178
H35.53,0.0002549522670614178
H35.54,0.0002549522670614178
H35.60,0.0002549522670614178
H35.61,0.0002549522670614178
H35.62,0.0002549522670614178
H35.63,0.0002549522670614178
H35.70,0.0002549522670614178
H35.81,0.0002549522670614178
H35.82,0.0002549522670614178
H35.89,0.0002549522670614178
H35.9,0.0002549522670614178
H40.89,0.004597241975661513
H40.9,0.004597241975661513
H50.00,2.9377627587265424e-05
H50.05,2.9377627587265424e-05
H50.06,2.9377627587265424e-05
H50.07,2.9377627587265424e-05
H50.08,2.9377627587265424e-05
H50.10,2.9377627587265424e-05
H50.15,2.9377627587265424e-05
H50.16,2.9377627587265424e-05
H50.17,2.9377627587265424e-05
H50.18,2.9377627587265424e-05
H50.21,2.9377627587265424e-05
H50.22,2.9377627587265424e-05
H50.30,2.9377627587265424e-05
H50.32,2.9377627587265424e-05
H50.34,2.9377627587265424e-05
H50.40,2.9377627587265424e-05
H50.42,2.9377627587265424e-05
H50.43,2.9377627587265424e-05
H50.50,2.9377627587265424e-05
H50.51,2.9377627587265424e-05
H50.52,2.9377627587265424e-05
H50.53,2.9377627587265424e-05
H50.54,2.9377627587265424e-05
H50.55,2.9377627587265424e-05
H50.60,2.9377627587265424e-05
H50.69,2.9377627587265424e-05
H50.89,2.9377627587265424e-05
H50.9,2.9377627587265424e-05
H52.00,0.0018037798090271239
H52.01,0.0018037798090271239
H52.02,0.0018037798090271239
H52.03,0.0018037798090271239
H52.10,0.0018037798090271239
H52.11,0.0018037798090271239
H52.12,0.0018037798090271239
H52.13,0.0018037798090271239
H52.31,0.0018037798090271239
H52.32,0.0018037798090271239
H52.4,0.0018037798090271239
H52.6,0.0018037798090271239
H52.7,0.0018037798090271239
H60.00,9.517485070651613e-05
H60.01,9.517485070651613e-05
H60.02,9.517485070651613e-05
H60.03,9.517485070651613e-05
H60.10,9.517485070651613e-05
H60.11,9.517485070651613e-05
H60.12,9.517485070651613e-05
H60.13,9.517485070651613e-05
H60.20,9.517485070651613e-05
H60.21,9.517485070651613e-05
